Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
PORTER,01/31/2025 07:37:14 AM,Engine Idle,"38.229183°, -122.624595°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,01/31/2025 07:47:40 AM,After Hours,"38.227104°, -122.622673°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,12.8
PORTER,02/01/2025 07:53:10 PM,After Hours,"38.348263°, -122.716583°","6298 Redwood Dr, Rohnert Park, CA 94928, USA",N/A,8.4
PORTER,02/04/2025 07:35:42 AM,Engine Idle,"38.229214°, -122.624832°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,02/04/2025 07:47:16 AM,After Hours,"38.227047°, -122.622604°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,15.4
PORTER,02/05/2025 07:33:19 AM,Engine Idle,"38.229198°, -122.624519°","1033 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,02/05/2025 07:43:54 AM,After Hours,"38.227093°, -122.622635°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,13.2
PORTER,02/06/2025 07:58:14 AM,Engine Idle,"38.229042°, -122.624649°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,02/06/2025 08:19:17 PM,After Hours,"38.260185°, -122.634247°","1516 Smokey Mountains Dr, Petaluma, CA 94954, USA",N/A,7.2
PORTER,02/07/2025 07:41:27 AM,After Hours,"38.227093°, -122.622658°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,11.8
PORTER,02/10/2025 09:38:10 AM,Engine Idle,"38.229057°, -122.624580°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,02/10/2025 07:13:15 PM,After Hours,"38.445198°, -122.687851°","2308 Magowan Dr, Santa Rosa, CA 95405, USA",N/A,12.5
PORTER,02/10/2025 08:13:36 PM,After Hours,"38.245544°, -122.629150°","958 Martin Cir, Petaluma, CA 94952, USA",N/A,9.9
PORTER,02/11/2025 07:47:49 AM,After Hours,"38.228477°, -122.622886°","200 McNear Cir, Petaluma, CA 94952, USA",N/A,13.3
PORTER,02/11/2025 06:27:40 PM,After Hours,"38.348240°, -122.716636°","6400 Redwood Dr, Rohnert Park, CA 94928, USA",N/A,16.3
PORTER,02/11/2025 07:17:58 PM,After Hours,"38.472584°, -122.738792°","1201 Piner Rd, Santa Rosa, CA 95403, USA",N/A,5.9
PORTER,02/12/2025 07:56:59 AM,After Hours,"38.227154°, -122.622703°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,10.6
PORTER,02/12/2025 06:11:39 PM,After Hours,"38.321400°, -122.714973°","605 W Sierra Ave, Cotati, CA 94931, USA",N/A,10.3
PORTER,02/13/2025 07:37:04 PM,After Hours,"38.262707°, -122.488884°","274 Avenida Barbera, Sonoma, CA 95476, USA",N/A,8.4
PORTER,02/14/2025 07:34:56 AM,After Hours,"38.227089°, -122.622658°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,13.4
PORTER,02/14/2025 06:05:34 PM,After Hours,"38.331295°, -122.713470°","US 101, Cotati, CA 94931, USA",N/A,16.0
PORTER,02/17/2025 06:03:53 PM,Harsh Braking,"38.220543°, -122.607979°","US 101, Petaluma, CA 94952, USA",N/A,0.0
PORTER,02/18/2025 07:47:37 AM,After Hours,"38.227074°, -122.622650°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,11.8
PORTER,02/19/2025 07:44:03 AM,After Hours,"38.249950°, -122.625297°","1420 E Washington St, Petaluma, CA 94954, USA",N/A,10.0
